y,x,z
-36.162052,141.170761,127.571
-35.736635,141.174887,127.038
-35.633645,141.195107,125.629
-35.889644,141.189265,140.12
-36.145476,141.18343,129.821
-36.334709,141.155429,114.197
-36.394446,141.138873,121.766
-36.41103,141.126153,118.202
-36.205034,141.094051,130.437
-35.945505,141.044531,139.962
-35.848941,141.030856,135.552
-35.679169,141.029383,118.478
-35.649262,141.037654,123.877
-35.836012,141.099092,133.732
-36.07897,141.161323,144.66
-36.245101,141.180215,121.876
-36.314832,141.185252,111.374
-36.148753,141.166338,127.799
-35.972765,141.198677,129.132
-35.783441,141.226506,137.28
-35.517769,141.283075,84.482
-35.408373,141.336911,70.329
-35.64478,141.433134,94.611
-35.804276,141.486229,101.436
-35.658079,141.43755,93.08
-35.458444,141.371411,77.999
-35.231805,141.296736,52.627
-35.161883,141.291703,50.846
-35.2953,141.335555,62.48
-35.455215,141.388314,73.684
-35.269134,141.398655,49.653
-35.119055,141.366541,51.473
-34.975254,141.370726,63.072
-35.08582,141.390873,59.019
-35.182737,141.406003,43.351
-35.09923,141.395491,62.23
-34.988683,141.375339,61.579
-34.894627,141.343062,83.904
-34.813907,141.315422,87.726
-34.725938,141.249683,46.039
-34.870157,141.245362,74.812
-35.111424,141.256494,49.394
-35.171436,141.241069,48.922
-35.277652,141.204105,65.427
-35.110752,141.184582,60.694
-34.90895,141.115515,61.372
-34.774089,141.069555,60.46
-34.649368,141.045062,49.986
-34.8384,141.109346,58.666
-35.013476,141.169159,72.978
-34.986569,141.15995,60.181
-34.869359,141.173576,65.202
-34.774996,141.14139,52.665
-34.620189,141.124458,47.191
-34.613914,141.158019,56.075
-34.613914,141.158019,56.075
-34.519275,141.125901,48.951
-34.46514,141.107563,46.78
-34.397413,141.084656,23
-34.383859,141.080077,34.841
-34.261768,141.038893,42.96
-34.221026,141.025177,62.546
-34.130228,141.048008,31.107
-34.062223,141.025175,28.438
-34.025783,141.066235,57.579
-34.175308,141.116497,28.925
-34.568947,141.320945,62.299
-34.646714,141.365263,67.355
-34.741005,141.397483,63.742
-34.771821,141.461481,91.516
-34.650681,141.420026,83.63
-34.539668,141.39993,72.736
-34.492873,141.419537,87.093
-34.856289,141.543911,57.314
-35.270731,141.685467,64.756
-35.443402,141.743012,102.009
-35.363737,141.716431,88.736
-35.030598,141.603971,38.498
-34.681545,141.483964,74.061
-34.438876,141.401154,73.981
-34.546831,141.43793,81.768
-34.883135,141.553143,59.535
-35.284022,141.689887,81.615
-35.383771,141.758872,84.224
-35.204594,141.734879,64.561
-34.89711,141.629187,43.545
-34.588046,141.523092,80.621
-34.466739,141.481676,103.998
-34.547634,141.509281,112.736
-34.843458,141.610708,60.999
-35.271024,141.756995,71.432
-35.377238,141.792436,85.101
-35.234702,141.798415,63.286
-35.138381,141.783879,59.673
-34.911023,141.705167,74.836
-34.548394,141.580562,83.804
-34.359631,141.516146,57.558
-34.97797,141.728297,78.89
-35.523223,141.912914,82.108
-35.734988,141.98435,63.44
-36.051856,142.091418,107.092
-36.167056,142.148238,111.826
-36.028486,142.136936,99.891
-35.509981,142.051221,67.889
-35.324665,141.988973,73.599
-34.922037,141.868943,56.138
-34.586913,141.753375,54.202
-35.015583,141.901379,57.851
-35.625553,142.107668,75.209
-35.797154,142.165427,83.814
-36.087078,142.263604,102.856
-35.684505,142.233784,73.101
-35.07926,142.153259,60.103
-34.80614,142.09413,36.809
-34.726033,142.066592,38.37
-34.792795,142.089538,38.003
-35.191987,142.227075,66.848
-35.522135,142.338135,87.294
-36.061902,142.521699,96.028
-36.61263,142.71108,147.549
-36.687642,142.754083,144.522
-36.444109,142.77803,126.658
-35.638807,142.660165,83
-35.061316,142.585867,60.579
-34.809032,142.498117,55.747
-35.259921,142.583991,68.021
-36.348049,142.833667,120.462
-36.810293,142.902726,192.487
-36.970733,142.939141,205.996
-36.907735,142.971549,209.967
-35.92869,143.218893,96.712
-36.115154,143.266498,110.35
-36.32512,143.26949,154.377
-36.1293,143.200748,110.416
-35.502692,143.106068,62.718
-35.207036,143.03924,59.181
-35.354922,143.072604,63.7
-35.864249,143.125901,91.852
-35.975949,143.129507,99.648
-35.700954,143.034008,83.162
-35.678214,143.008538,80.176
-35.737615,142.993851,82
-35.658931,142.966669,73.436
-35.737615,142.993851,82
-36.004001,142.99792,103.299
-36.233451,143.04239,122.556
-36.134873,143.043452,126.022
-35.993494,143.047295,100.194
-35.562873,143.021471,64.527
-35.349385,142.965525,66.562
-35.276807,142.975662,50.661
-35.411593,143.004452,57.373
-35.261415,142.84772,43
-36.253949,143.403722,134.439
-36.29175,143.487495,160.692
-36.359079,143.563943,236.923
-36.416918,143.619545,200.899
-36.517308,143.672694,294.989
-36.626988,143.74632,252.291
-36.419083,143.673063,169.581
-36.197906,143.594901,112.175
-35.793796,143.45323,106.945
-35.689313,143.416715,116.903
-35.899379,143.420042,95.565
-36.053581,143.421398,106.477
-36.460086,143.423502,217.317
-36.715959,143.406034,209
-36.507615,143.333867,157.204
-36.106698,143.175157,106.015
-35.751521,142.928152,82.727
-35.837157,142.922448,94.036
-36.232808,142.84698,114.522
-36.526132,142.788717,132.166
-36.598572,142.777809,134.426
-36.542727,142.776654,131.457
-36.207478,142.76717,112
-35.898109,142.766787,86.732
-35.727388,142.708134,85.308
-36.090239,142.655706,103.361
-36.671244,142.498063,147.975
-36.784016,142.427869,149.175
-36.573286,142.429821,137.867
-36.44826,142.422694,127.915
-35.937304,142.443618,86.738
