UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179813601,2007-05-22T06:00:01Z,-34.280781,145.872705,115.628,3854.871,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.290387,145.734619,111.465,3867.618,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.282619,145.653563,106.0,3875.124,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.269533,145.518493,103.056,3887.635,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.250963,145.329428,99.843,3905.154,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.237518,145.194404,97.962,3917.67,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.226653,145.086403,92.658,3927.684,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.210176,144.924428,91.337,3942.708,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.196149,144.789401,85.73,3955.238,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.178889,144.627236,80.879,3970.295,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.167258,144.519125,83.529,3980.337,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.170176,144.546152,81.816,3982.848,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.193289,144.762372,86.145,4002.927,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.204637,144.870445,88.434,4012.958,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.173598,145.011794,92.587,4026.426,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.172943,145.230832,99.533,4046.601,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.194332,145.446735,101.299,4066.627,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.210120,145.608696,105.355,4081.643,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.220525,145.716684,108.637,4091.652,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.241009,145.932695,118.666,4111.665,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.251106,146.040711,119.902,4121.669,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.275773,146.310785,137.049,4146.67,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.314735,146.497038,151.344,4164.341,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.353416,146.683465,169.671,4182.012,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.391813,146.870061,195.959,4199.683,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.405259,147.032474,255.998,4214.677,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.416320,147.167856,297.069,4227.172,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.431554,147.357449,287.329,4244.665,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.452808,147.628412,272.36,4269.655,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.456928,147.682643,284.882,4274.654,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.467009,147.818319,302.99,4287.158,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.478912,147.981206,341.484,4302.166,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.500175,148.280031,433.307,4329.688,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.513319,148.470334,498.546,4347.208,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.531582,148.742370,546.087,4372.243,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.549244,149.014598,627.432,4397.285,0,0,No Data,No Data
1179813601,2007-05-22T06:00:01Z,-34.557599,149.151051,512.46,4409.831,0,0,No Data,No Data
